施設名,種別,管理運営機関,都道府県,市区町村,住所,電話番号,アドレス,Webサイト,担当部署,担当者,自主事業,状態,温度感,次回アクション,備考,補完状況,補完元,補完元URL
古川学園中学校,私立中学校,私立,宮城県,大崎市,宮城県大崎市古川中里６－２－８,0229-22-2545,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C104392150017 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9896143 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,宮城県 私立学校名簿PDF,https://www.pref.miyagi.jp/documents/6697/r7_meibo.pdf
古川学園高等学校,私立高等学校,私立,宮城県,大崎市,宮城県大崎市古川中里６－２－８,0229-22-2545,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D104392150015 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9896143 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,宮城県 私立学校名簿PDF,https://www.pref.miyagi.jp/documents/6697/r7_meibo.pdf
大崎中央高等学校,私立高等学校,私立,宮城県,大崎市,宮城県大崎市古川福沼１－２７－１,0229-22-2030,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D104392150024 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9896105 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,宮城県 私立学校名簿PDF,https://www.pref.miyagi.jp/documents/6697/r7_meibo.pdf
日本ウェルネス宮城高等学校,私立高等学校,私立,宮城県,東松島市,宮城県東松島市小野字裏丁１,0225-20-9030,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D104392140018 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9810303 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,宮城県 私立学校名簿PDF,https://www.pref.miyagi.jp/documents/6697/r7_meibo.pdf
東陵高等学校,私立高等学校,私立,宮城県,気仙沼市,宮城県気仙沼市大峠山１－１,0226-23-3100,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D104392050016 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9880812 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,宮城県 私立学校名簿PDF,https://www.pref.miyagi.jp/documents/6697/r7_meibo.pdf
飛鳥未来きずな高等学校,私立高等学校,私立,宮城県,登米市,宮城県登米市米山町中津山字筒場埣２１５,0220-55-3770,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D104392120012 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9870331 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,宮城県 私立学校名簿PDF,https://www.pref.miyagi.jp/documents/6697/r7_meibo.pdf
秋田修英高等学校,私立高等学校,私立,秋田県,大仙市,秋田県大仙市大曲須和町１－１－３０,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D105321259068 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0140047 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
ノースアジア大学明桜高等学校,私立高等学校,私立,秋田県,秋田市,秋田県秋田市下北手桜字守沢８－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D105320159043 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0108525 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
国学館高等学校,私立高等学校,私立,秋田県,秋田市,秋田県秋田市千秋明徳町３－３１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D105320159025 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0100875 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
秋田令和高等学校,私立高等学校,私立,秋田県,秋田市,秋田県秋田市千秋矢留町４－１７,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D105320159034 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0100877 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
聖霊女子短期大学付属中学校,私立中学校,私立,秋田県,秋田市,秋田県秋田市南通みその町４－８２,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C105320149618 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 0108533 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
聖霊女子短期大学付属高等学校,私立高等学校,私立,秋田県,秋田市,秋田県秋田市南通みその町４－８２,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D105320159016 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 0108533 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
創学館高等学校,私立高等学校,私立,山形県,天童市,山形県天童市清池東２－１０－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106321051012 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9940069 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
山形学院高等学校,私立高等学校,私立,山形県,山形市,山形県山形市香澄町３－１０－８,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320151022 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9900039 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
山形明正高等学校,私立高等学校,私立,山形県,山形市,山形県山形市飯田１－１－８,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320151040 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9902332 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
惺山高等学校,私立高等学校,私立,山形県,山形市,山形県山形市城西町３－１３－７,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320151059 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9900832 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
日本大学山形高等学校,私立高等学校,私立,山形県,山形市,山形県山形市鳥居ヶ丘４－５５,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320151031 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9902433 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
東北文教大学山形城北高等学校,私立高等学校,私立,山形県,山形市,山形県山形市肴町１－１３,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320151013 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9900824 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
東海大学山形高等学校,私立高等学校,私立,山形県,山形市,山形県山形市成沢西３－４－５,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320151068 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9902339 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
新庄東高等学校,私立高等学校,私立,山形県,新庄市,山形県新庄市松本５９６,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320551019 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9960051 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
九里学園高等学校,私立高等学校,私立,山形県,米沢市,山形県米沢市門東町１－１－７２,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320251012 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9920039 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
米沢中央高等学校,私立高等学校,私立,山形県,米沢市,山形県米沢市中央７－５－７０－４,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320251021 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9920045 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
基督教独立学園高等学校,私立高等学校,私立,山形県,西置賜郡小国町,山形県西置賜郡小国町叶水８２６,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106340151011 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9991211 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
和順館高等学校,私立高等学校,私立,山形県,酒田市,山形県酒田市南千日町４－５０,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320451010 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9980025 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
酒田南高等学校,私立高等学校,私立,山形県,酒田市,山形県酒田市浜田１－３－４７,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320451029 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9980031 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
羽黒高等学校,私立高等学校,私立,山形県,鶴岡市,山形県鶴岡市羽黒町手向字薬師沢１９８,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320351011 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9970296 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
鶴岡東高等学校,私立高等学校,私立,山形県,鶴岡市,山形県鶴岡市切添町２２－３０,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D106320351020 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9970022 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
いわき秀英中学校,私立中学校,私立,福島県,いわき市,福島県いわき市泉町字滝ノ沢３－１,0246-75-2111,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320441032 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9718185 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
いわき秀英小学校,私立小学校,私立,福島県,いわき市,福島県いわき市泉町字滝ノ沢３－１,0246-75-2111,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B107320431018 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 9718185 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
いわき秀英高等学校,私立高等学校,私立,福島県,いわき市,福島県いわき市泉町字滝ノ沢３－１,0246-75-2111,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320461053 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9718185 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
学校法人山﨑学園磐城緑蔭高等学校,私立高等学校,私立,福島県,いわき市,福島県いわき市平南白土字勝負田１１,0246-25-6341,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320461026 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9708025 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
学校法人山﨑学園福島県磐城第一高等学校,私立高等学校,私立,福島県,いわき市,福島県いわき市内郷御厩町上宿１１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320461017 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9738402 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
東日本国際大学附属昌平中学校,私立中学校,私立,福島県,いわき市,福島県いわき市平上片寄字上ノ内１５２,0246-57-1123,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320441014 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9708011 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
東日本国際大学附属昌平高等学校,私立高等学校,私立,福島県,いわき市,福島県いわき市平上片寄字上ノ内１５２,0246-57-1123,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320461044 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9708011 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
磐城緑蔭中学校,私立中学校,私立,福島県,いわき市,福島県いわき市平南白土字勝負田１１,0246-25-6341,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320441023 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9708025 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
聖光学院高等学校,私立高等学校,私立,福島県,伊達市,福島県伊達市六角３,024-583-3325,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107321361016 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9600486 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
会津北嶺高等学校,私立高等学校,私立,福島県,会津若松市,福島県会津若松市相生町３－２,0242-22-1004,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320261019 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9650031 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
会津若松ザベリオ学園中学校,私立中学校,私立,福島県,会津若松市,福島県会津若松市西栄町１－１８,0242-27-1970,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320241016 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9650877 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
会津若松ザベリオ学園小学校,私立小学校,私立,福島県,会津若松市,福島県会津若松市西栄町１－１８,0242-26-7715,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B107320231010 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 9650877 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
会津若松ザベリオ学園高等学校,私立高等学校,私立,福島県,会津若松市,福島県会津若松市西栄町１－１８,0242-27-1970,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320261028 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9650877 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
学校法人温知会仁愛高等学校,私立高等学校,私立,福島県,会津若松市,福島県会津若松市鶴賀町１－５,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320261037 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9650011 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
大智学園高等学校,私立高等学校,私立,福島県,双葉郡川内村,福島県双葉郡川内村大字上川内字町分１４３番地,0240-38-2279,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107354461016 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9791201 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
学校法人石川高等学校,私立高等学校,私立,福島県,石川郡石川町,福島県石川郡石川町字大室５０２,0247-26-5151,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107350161017 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9637853 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
石川義塾中学校,私立中学校,私立,福島県,石川郡石川町,福島県石川郡石川町字大室５０２番地,0247-26-5151,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107350141014 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9637853 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
学校法人松韻学園福島高等学校,私立高等学校,私立,福島県,福島市,福島県福島市御山町９－１,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320161010 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9608012 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
学校法人福島南高等学園,私立高等学校,私立,福島県,福島市,福島県福島市太平寺字児子塚３５,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320161056 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9608151 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
桜の聖母学院中学校,私立中学校,私立,福島県,福島市,福島県福島市花園町４－８,024-535-3141,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320141017 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9608112 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
桜の聖母学院小学校,私立小学校,私立,福島県,福島市,福島県福島市花園町４－８,024-535-1301,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B107320131011 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 9608112 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
桜の聖母学院高等学校,私立高等学校,私立,福島県,福島市,福島県福島市野田町七丁目１１－１,024-535-3141,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320161038 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9608055 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
福島成蹊中学校,私立中学校,私立,福島県,福島市,福島県福島市腰浜町１５－２１,024-526-2282,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320141026 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9608135 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
福島成蹊高等学校,私立高等学校,私立,福島県,福島市,福島県福島市上浜町５－１０,024-522-2049,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320161029 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9608134 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
福島東稜高等学校,私立高等学校,私立,福島県,福島市,福島県福島市山居上３番地,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320161047 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9608124 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
学校法人尚志学園尚志高等学校,私立高等学校,私立,福島県,郡山市,福島県郡山市大槻町字坦ノ腰２番地,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320361036 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9630201 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
帝京安積高等学校,私立高等学校,私立,福島県,郡山市,福島県郡山市安積町日出山字神明下４３,024-941-7755,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320361018 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9630101 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
日本大学東北高等学校,私立高等学校,私立,福島県,郡山市,福島県郡山市田村町徳定字中河原１,024-956-8840,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320361027 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9631165 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717686.pdf
郡山ザベリオ学園中学校,私立中学校,私立,福島県,郡山市,福島県郡山市大槻町字古屋敷１０２,024-952-7756,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C107320341015 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 9630201 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
郡山ザベリオ学園小学校,私立小学校,私立,福島県,郡山市,福島県郡山市大槻町字古屋敷１０２,024-952-7756,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B107320331019 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 9630201 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,福島県 私立学校一覧PDF,https://www.pref.fukushima.lg.jp/uploaded/attachment/717687.pdf
郡山女子大学附属高等学校,私立高等学校,私立,福島県,郡山市,福島県郡山市開成三丁目２５番２号,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D107320361045 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 9638503 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
つくば国際大学東風高等学校,私立高等学校,私立,茨城県,かすみがうら市,茨城県かすみがうら市上土田６９０番地１,0299-59-7516,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D108323000018 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 3150057 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/high-school/
青葉台中等学部,私立中学校,私立,茨城県,かすみがうら市,茨城県かすみがうら市上稲吉１５１８,029-830-2311,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C108323000010 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 3150056 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/elementary-junior-high-school/
青葉台初等学部,私立小学校,私立,茨城県,かすみがうら市,茨城県かすみがうら市上稲吉中山１５１８番地,029-830-2311,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: B108323000012 / 学校種: B1(小学校) / 本分校: 本校 / 郵便番号: 3150056 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/elementary-junior-high-school/
学校法人温習塾つくば秀英高等学校,私立高等学校,私立,茨城県,つくば市,茨城県つくば市島名１５１,029-847-1611,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D108322000029 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 3002655 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/high-school/
学校法人茗溪学園茗溪学園中学校,私立中学校,私立,茨城県,つくば市,茨城県つくば市稲荷前１－１,029-851-6611,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C108322000012 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 3058502 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/high-school/
学校法人茗溪学園茗溪学園高等学校,私立高等学校,私立,茨城県,つくば市,茨城県つくば市稲荷前１－１,029-851-6611,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D108322000010 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 3058502 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/high-school/
Ｓ高等学校,私立高等学校,私立,茨城県,つくば市,茨城県つくば市作谷５７８番２,029-879-5801,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D108322000038 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 3004204 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/high-school/
ルネサンス高等学校,私立高等学校,私立,茨城県,久慈郡大子町,茨城県久慈郡大子町大字町付１５４３,0295-76-8031,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D108336400016 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 3193702 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/high-school/
学校法人江戸川学園江戸川取手高等学校,私立高等学校,私立,茨城県,取手市,茨城県取手市西１丁目３７番１号,,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: D108321700015 / 学校種: D1(高校) / 本分校: 本校 / 郵便番号: 3020025 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,未補完,,
江戸川学園取手中学校,私立中学校,私立,茨城県,取手市,茨城県取手市西１－３７－１,0297-74-0111,,,,,△,未着手,C,学校代表窓口・担当部署・電話番号を確認,学校コード: C108321700026 / 学校種: C1(中学校) / 本分校: 本校 / 郵便番号: 3020025 / 出典: 文部科学省 学校コード一覧 令和8年5月1日時点 暫定版,補完済み,茨城県 私立学校一覧,https://kyoiku.pref.ibaraki.jp/gakko/private-schools/elementary-junior-high-school/
